epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6246,1.06049,3.63662,1.36549,0.00726,0.88333,0.19261,0.12501,0.57164,3.89084,1.13069,3.636e-05,3.636e-05,3.636e-05
2,27.2195,0.9591,3.5529,1.32494,0.00782,0.9,0.3376,0.25883,0.54755,3.86447,1.1039,8.01902e-05,8.01902e-05,8.01902e-05
3,41.4321,0.91165,3.50469,1.37814,0.00882,0.91389,0.39891,0.31756,0.53649,3.83731,1.10404,0.000122221,0.000122221,0.000122221
4,55.6035,0.97867,3.25781,1.374,0.01063,0.90833,0.41328,0.32446,0.5303,3.7365,1.12986,0.000162451,0.000162451,0.000162451
5,69.5867,0.84934,3.16339,1.21765,0.01146,0.925,0.36168,0.29948,0.6022,3.54152,1.15013,0.000200882,0.000200882,0.000200882
6,83.563,0.77318,2.92162,1.2357,0.01158,0.90833,0.35112,0.28823,0.62383,3.35935,1.15196,0.000237513,0.000237513,0.000237513
7,97.4375,0.8504,2.77101,1.2141,1,0.13004,0.37543,0.32006,0.62944,3.07177,1.1188,0.000272344,0.000272344,0.000272344
8,111.156,0.84103,2.50872,1.22755,0.96608,0.13933,0.40761,0.35383,0.67004,2.97303,1.15024,0.000305375,0.000305375,0.000305375
9,125.1,0.72818,2.58482,1.2345,0.95386,0.16464,0.44471,0.37427,0.65356,3.02631,1.14828,0.000336606,0.000336606,0.000336606
10,139.154,0.86688,2.5953,1.27981,0.98448,0.15687,0.44197,0.33227,0.81857,3.09244,1.25944,0.000366038,0.000366038,0.000366038
11,153.093,0.77575,2.26522,1.19527,0.89891,0.18916,0.50163,0.3571,0.96882,3.18392,1.34733,0.00039367,0.00039367,0.00039367
12,166.934,1.00295,2.23274,1.38183,0.48031,0.27585,0.54366,0.39716,0.8265,2.90079,1.2973,0.000419502,0.000419502,0.000419502
13,180.832,0.93512,2.20292,1.31442,0.4715,0.31922,0.56076,0.41417,0.72772,2.72012,1.22345,0.000443534,0.000443534,0.000443534
14,194.838,0.80673,1.92124,1.21271,0.4715,0.31922,0.56076,0.41417,0.72772,2.72012,1.22345,0.000465766,0.000465766,0.000465766
15,208.862,0.88082,2.13859,1.23923,0.51962,0.39217,0.58846,0.46155,0.70814,2.53955,1.17627,0.000486199,0.000486199,0.000486199
16,222.74,0.69003,1.68712,1.12357,0.63897,0.72504,0.69593,0.53061,0.76078,2.26315,1.19659,0.000504831,0.000504831,0.000504831
17,236.723,0.73885,1.81347,1.16073,0.7555,0.67608,0.86095,0.67763,0.66839,2.00788,1.12446,0.000521664,0.000521664,0.000521664
18,253.185,0.69314,1.67731,1.07717,0.7555,0.67608,0.86095,0.67763,0.66839,2.00788,1.12446,0.000536697,0.000536697,0.000536697
19,267.08,0.80466,1.83652,1.16534,0.79705,0.65307,0.86311,0.67949,0.60487,1.82538,1.14509,0.00054993,0.00054993,0.00054993
20,280.319,0.72969,1.86121,1.08934,0.68983,0.71336,0.84963,0.68071,0.60928,1.75917,1.11414,0.000561364,0.000561364,0.000561364
21,293.379,0.7076,1.63548,1.09529,0.68983,0.71336,0.84963,0.68071,0.60928,1.75917,1.11414,0.000549036,0.000549036,0.000549036
22,306.626,0.93735,1.64952,1.43217,0.68928,0.7493,0.81907,0.67858,0.64429,1.83377,1.11967,0.000531038,0.000531038,0.000531038
23,319.678,0.88451,1.66555,1.15692,0.65298,0.75634,0.82981,0.67401,0.65524,2.0592,1.14198,0.00051304,0.00051304,0.00051304
24,332.691,0.85189,1.73915,1.18864,0.65298,0.75634,0.82981,0.67401,0.65524,2.0592,1.14198,0.000495041,0.000495041,0.000495041
25,345.766,0.86872,1.54513,1.15818,0.62343,0.85707,0.83923,0.66534,0.60492,1.87236,1.12,0.000477043,0.000477043,0.000477043
26,358.787,0.74724,1.38549,1.08262,0.62343,0.85707,0.83923,0.66534,0.60492,1.87236,1.12,0.000459045,0.000459045,0.000459045
27,374.126,0.6382,1.48462,1.07104,0.66076,0.89722,0.84571,0.68531,0.55162,1.63066,1.09244,0.000441047,0.000441047,0.000441047
28,401.756,0.80535,1.52916,1.21155,0.79787,0.9051,0.88743,0.76324,0.50469,1.57286,1.04025,0.000423049,0.000423049,0.000423049
