epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30723,0.8943,3.45976,1.47119,0.00971,1,0.16602,0.09654,0.64121,4.10548,1.46572,0,0,0
2,4.71787,0.78125,3.35168,1.21688,0.00997,1,0.1776,0.1052,0.63542,4.09696,1.47498,1.089e-05,1.089e-05,1.089e-05
3,6.9942,0.75574,3.29256,1.18516,0.01029,1,0.20882,0.11323,0.62976,4.08327,1.42909,2.13401e-05,2.13401e-05,2.13401e-05
4,9.45281,0.55799,3.40287,1.1252,0.01083,1,0.25301,0.17609,0.62618,4.07166,1.42242,3.13502e-05,3.13502e-05,3.13502e-05
5,12.0966,0.98141,3.38085,1.39797,0.01112,1,0.30017,0.22142,0.61373,4.06288,1.41605,4.09204e-05,4.09204e-05,4.09204e-05
6,14.7426,0.50617,3.17913,1.02664,0.01198,1,0.40474,0.33296,0.62989,4.04173,1.42272,5.00506e-05,5.00506e-05,5.00506e-05
7,17.239,0.90149,3.58368,1.40439,0.01292,1,0.45589,0.39565,0.63868,4.00984,1.41236,5.87408e-05,5.87408e-05,5.87408e-05
8,19.5911,0.55401,3.24015,1.14612,0.0145,1,0.55495,0.47824,0.61783,3.9815,1.39963,6.69911e-05,6.69911e-05,6.69911e-05
9,21.9409,0.83784,3.30769,1.40746,0.0145,1,0.55495,0.47824,0.61783,3.9815,1.39963,7.48014e-05,7.48014e-05,7.48014e-05
10,25.0777,0.59649,3.18888,1.14379,0.01615,1,0.62225,0.50636,0.61368,3.98377,1.40695,8.21718e-05,8.21718e-05,8.21718e-05
11,28.5658,0.82881,3.19901,1.39658,0.01615,1,0.62225,0.50636,0.61368,3.98377,1.40695,8.91022e-05,8.91022e-05,8.91022e-05
12,32.3611,0.84411,3.2996,1.29888,0.01922,1,0.75575,0.64356,0.62695,3.96001,1.47495,9.55927e-05,9.55927e-05,9.55927e-05
13,35.703,0.64589,3.12366,1.14144,0.01922,1,0.75575,0.64356,0.62695,3.96001,1.47495,0.000101643,0.000101643,0.000101643
14,38.9427,0.64853,3.22024,1.21942,0.02277,1,0.72,0.59958,0.60616,3.94993,1.4246,0.000107254,0.000107254,0.000107254
15,42.0618,0.88907,3.05457,1.34069,0.02277,1,0.72,0.59958,0.60616,3.94993,1.4246,0.000112424,0.000112424,0.000112424
16,45.3749,0.7085,2.84041,1.25525,0.02856,1,0.80938,0.65155,0.56072,3.94441,1.32789,0.000117155,0.000117155,0.000117155
17,49.1593,0.54747,2.80498,1.11766,0.02856,1,0.80938,0.65155,0.56072,3.94441,1.32789,0.000121446,0.000121446,0.000121446
18,52.3527,0.58454,2.72597,1.0964,0.03471,1,0.80938,0.68268,0.50911,3.89853,1.25799,0.000125296,0.000125296,0.000125296
19,55.4812,0.72416,2.62257,1.18786,0.03471,1,0.80938,0.68268,0.50911,3.89853,1.25799,0.000128707,0.000128707,0.000128707
20,58.7829,0.4292,2.58419,1.00004,0.04287,1,0.81821,0.7272,0.47257,3.85321,1.17048,0.000131678,0.000131678,0.000131678
21,61.8994,0.8974,2.63955,1.31686,0.04287,1,0.81821,0.7272,0.47257,3.85321,1.17048,0.000134209,0.000134209,0.000134209
22,64.9936,0.69159,2.60252,1.21945,0.05001,1,0.81821,0.72011,0.45652,3.79589,1.13294,0.0001363,0.0001363,0.0001363
23,68.0317,0.74749,2.382,1.16973,0.05001,1,0.81821,0.72011,0.45652,3.79589,1.13294,0.000137951,0.000137951,0.000137951
24,71.0591,0.83275,2.27651,1.2006,0.05001,1,0.81821,0.72011,0.45652,3.79589,1.13294,0.000139162,0.000139162,0.000139162
25,74.2016,0.5834,2.62935,1.10453,0.0566,1,0.83,0.73046,0.45491,3.74618,1.12211,0.000139933,0.000139933,0.000139933
26,76.892,0.94157,2.42937,1.52246,0.0566,1,0.83,0.73046,0.45491,3.74618,1.12211,0.000140264,0.000140264,0.000140264
27,79.4929,0.44262,2.23613,1.08613,0.0566,1,0.83,0.73046,0.45491,3.74618,1.12211,0.000140155,0.000140155,0.000140155
28,82.3571,0.65797,2.258,1.1447,0.0672,1,0.83,0.75154,0.4364,3.63958,1.10559,0.000139606,0.000139606,0.000139606
29,85.0794,0.39376,1.74562,1.0282,0.0672,1,0.83,0.75154,0.4364,3.63958,1.10559,0.000138617,0.000138617,0.000138617
30,87.9842,0.70429,2.1064,1.26067,0.0672,1,0.83,0.75154,0.4364,3.63958,1.10559,0.000137189,0.000137189,0.000137189
31,91.1234,0.45773,2.29239,0.98687,0.07179,1,0.8465,0.78668,0.45785,3.46306,1.11791,0.00013532,0.00013532,0.00013532
32,93.7786,0.54766,1.99468,1.01196,0.07179,1,0.8465,0.78668,0.45785,3.46306,1.11791,0.000133011,0.000133011,0.000133011
33,96.3373,0.40609,1.82845,0.99766,0.07179,1,0.8465,0.78668,0.45785,3.46306,1.11791,0.000130263,0.000130263,0.000130263
34,99.0871,0.52204,1.86148,1.00719,0.07794,1,0.95375,0.86474,0.45411,3.32665,1.10791,0.000127074,0.000127074,0.000127074
35,101.598,0.73544,2.01016,1.12815,0.07794,1,0.95375,0.86474,0.45411,3.32665,1.10791,0.000123445,0.000123445,0.000123445
36,104.19,0.6249,2.12273,1.09075,0.07794,1,0.95375,0.86474,0.45411,3.32665,1.10791,0.000119377,0.000119377,0.000119377
37,107.002,0.41217,1.7811,0.98001,0.07794,1,0.95375,0.86474,0.45411,3.32665,1.10791,0.000114869,0.000114869,0.000114869
38,109.855,0.50565,1.83391,1.06098,0.84391,0.64483,0.95375,0.86021,0.45523,3.17924,1.13427,0.00010992,0.00010992,0.00010992
